<, 31> 
<abilities, 1> 
<able, 3> 
<abroad, 4> 
<absolute, 1> 
<acceptance, 1> 
<active, 1> 
<acuteness, 3> 
<adapted, 3> 
<add, 9> 
<additions, 1> 
<admire, 1> 
<admitting, 5> 
<advantage, 3> 
<advice, 1> 
<affection, 1> 
<affixed, 3> 
<afraid, 2> 
<again, 2> 
<age, 5> 
<agreeable, 1> 
<agreement, 1> 
<all, 3> 
<allowance, 1> 
<almost, 1> 
<alteration, 1> 
<am, 10> 
<among, 2> 
<an, 19> 
<and, 7> 
<another, 1> 
<answered, 1> 
<any, 6> 
<apartments, 2> 
<appear, 2> 
<appearance, 2> 
<appetite, 3> 
<applauded, 1> 
<are, 13> 
<around, 1> 
<arranging, 2> 
<article, 1> 
<as, 23> 
<ask, 5> 
<asked, 4> 
<assistance, 3> 
<assurance, 1> 
<assure, 1> 
<astonished, 1> 
<at, 16> 
<attachment, 1> 
<attacks, 2> 
<attempt, 1> 
<attended, 4> 
<attending, 1> 
<attention, 2> 
<aware, 1> 
<away, 3> 
<balls, 1> 
<barton, 2> 
<basket, 1> 
<be, 8> 
<because, 1> 
<become, 4> 
<bed, 1> 
<began, 1> 
<begin, 1> 
<behaviour, 1> 
<behind, 1> 
<believe, 2> 
<believed, 1> 
<better, 1> 
<between, 1> 
<blessing, 1> 
<blind, 1> 
<blushes, 1> 
<body, 2> 
<boisterous, 3> 
<bore, 1> 
<boy, 3> 
<breakfast, 2> 
<bred, 1> 
<breeding, 2> 
<brother, 1> 
<brought, 1> 
<building, 3> 
<burst, 1> 
<busy, 2> 
<but, 19> 
<by, 12> 
<calling, 1> 
<can, 4> 
<carriage, 3> 
<carried, 1> 
<case, 1> 
<cause, 1> 
<certain, 2> 
<certainty, 1> 
<change, 1> 
<chapter, 1> 
<charm, 1> 
<charmed, 1> 
<cheered, 1> 
<cheerful, 2> 
<child, 5> 
<children, 1> 
<civility, 1> 
<cold, 4> 
<collected, 2> 
<collecting, 3> 
<colonel, 4> 
<come, 1> 
<commanded, 1> 
<companions, 2> 
<company, 1> 
<comparison, 3> 
<compliment, 1> 
<concealed, 3> 
<concerns, 4> 
<concluded, 4> 
<conduct, 1> 
<confined, 1> 
<consider, 2> 
<considered, 5> 
<consisted, 2> 
<consulted, 2> 
<contained, 1> 
<continue, 1> 
<continuing, 1> 
<contrasted, 2> 
<conveying, 2> 
<conviction, 4> 
<cordial, 1> 
<cordially, 3> 
<could, 1> 
<country, 1> 
<county, 1> 
<cousin, 2> 
<cultivated, 1> 
<dare, 1> 
<daughter, 1> 
<daughters, 3> 
<day, 5> 
<deal, 4> 
<dear, 1> 
<dearest, 1> 
<death, 2> 
<decisively, 4> 
<declared, 1> 
<defer, 2> 
<dejection, 1> 
<delight, 1> 
<delighted, 1> 
<delightful, 2> 
<delivered, 2> 
<denied, 3> 
<denote, 1> 
<denoting, 1> 
<deny, 1> 
<depart, 1> 
<dependent, 1> 
<depending, 2> 
<described, 2> 
<determine, 1> 
<detract, 1> 
<devonshire, 2> 
<did, 4> 
<differed, 1> 
<difficulty, 2> 
<diminution, 3> 
<dining, 2> 
<dinner, 1> 
<direct, 1> 
<direction, 1> 
<discovered, 3> 
<discovery, 1> 
<discretion, 4> 
<dispatched, 2> 
<disposed, 1> 
<disposing, 1> 
<distance, 2> 
<distant, 1> 
<distrusts, 4> 
<do, 28> 
<does, 1> 
<door, 3> 
<doubt, 3> 
<doubtful, 3> 
<down, 2> 
<downs, 2> 
<draw, 1> 
<drawings, 2> 
<drew, 2> 
<dwelling, 1> 
<each, 1> 
<earnestly, 3> 
<easy, 2> 
<eat, 1> 
<education, 1> 
<edward, 2> 
<effect, 1> 
<either, 2> 
<elderly, 2> 
